race,phase,seed,driver,prompt,position,lap1_seconds,lap2_seconds,finish_seconds,contacts,finished
training-v0-8912,training,8912,max,max-v0,1,20.450,19.175,39.625,0,true
training-v0-8912,training,8912,lando,lando-v0,2,21.350,19.075,40.425,2,true
training-v0-8912,training,8912,charles,charles-v0,3,21.625,19.750,41.375,5,true
training-v0-8912,training,8912,oscar,oscar-v0,4,23.375,18.150,41.525,2,true
training-v0-8912,training,8912,fernando,fernando-v0,5,21.925,20.300,42.225,1,true
training-v0-8912,training,8912,lewis,lewis-v0,6,23.300,19.575,42.875,0,true
training-v0-8912,training,8912,franco,franco-v0,7,23.950,19.300,43.250,0,true
training-v0-8912,training,8912,carlos,carlos-v0,8,24.850,20.425,45.275,0,true
training-v0-8912,training,8912,george,george-v0,9,25.225,20.425,45.650,2,true
training-v0-8912,training,8912,alex,alex-v0,10,26.000,20.050,46.050,2,true
training-v0-2046,training,2046,max,max-v0,1,18.800,17.600,36.400,0,true
training-v0-2046,training,2046,lando,lando-v0,2,19.625,17.300,36.925,5,true
training-v0-2046,training,2046,charles,charles-v0,3,19.975,18.400,38.375,5,true
training-v0-2046,training,2046,lewis,lewis-v0,4,21.200,18.100,39.300,0,true
training-v0-2046,training,2046,oscar,oscar-v0,5,22.250,17.400,39.650,6,true
training-v0-2046,training,2046,franco,franco-v0,6,22.025,17.875,39.900,8,true
training-v0-2046,training,2046,fernando,fernando-v0,7,23.175,17.575,40.750,7,true
training-v0-2046,training,2046,george,george-v0,8,23.500,18.150,41.650,7,true
training-v0-2046,training,2046,alex,alex-v0,9,23.250,19.250,42.500,5,true
training-v0-2046,training,2046,carlos,carlos-v0,10,23.775,19.700,43.475,7,true
training-v1-8912,training,8912,max,max-v1,1,18.325,17.350,35.675,0,true
training-v1-8912,training,8912,lando,lando-v1,2,22.350,19.625,41.975,6,true
training-v1-8912,training,8912,charles,charles-v1,3,22.175,20.525,42.700,6,true
training-v1-8912,training,8912,fernando,fernando-v1,4,22.975,20.250,43.225,4,true
training-v1-8912,training,8912,lewis,lewis-v1,5,23.225,20.650,43.875,2,true
training-v1-8912,training,8912,franco,franco-v1,6,23.350,20.525,43.875,4,true
training-v1-8912,training,8912,oscar,oscar-v1,7,24.050,20.350,44.400,5,true
training-v1-8912,training,8912,alex,alex-v1,8,24.575,20.950,45.525,2,true
training-v1-8912,training,8912,george,george-v1,9,25.375,20.775,46.150,4,true
training-v1-8912,training,8912,carlos,carlos-v1,10,25.250,22.450,47.700,5,true
training-v1-2046,training,2046,max,max-v1,1,17.150,15.900,33.050,0,true
training-v1-2046,training,2046,lando,lando-v1,2,20.475,18.350,38.825,4,true
training-v1-2046,training,2046,lewis,lewis-v1,3,21.200,18.350,39.550,1,true
training-v1-2046,training,2046,franco,franco-v1,4,21.625,18.775,40.400,5,true
training-v1-2046,training,2046,oscar,oscar-v1,5,22.125,18.875,41.000,3,true
training-v1-2046,training,2046,charles,charles-v1,6,21.650,19.700,41.350,5,true
training-v1-2046,training,2046,carlos,carlos-v1,7,23.175,19.275,42.450,6,true
training-v1-2046,training,2046,alex,alex-v1,8,23.800,19.225,43.025,4,true
training-v1-2046,training,2046,fernando,fernando-v1,9,23.650,19.700,43.350,6,true
training-v1-2046,training,2046,george,george-v1,10,24.375,19.325,43.700,4,true
training-v2-8912,training,8912,max,max-v2,1,20.425,18.350,38.775,0,true
training-v2-8912,training,8912,lewis,lewis-v2,2,20.000,19.050,39.050,0,true
training-v2-8912,training,8912,charles,charles-v2,3,21.125,18.175,39.300,0,true
training-v2-8912,training,8912,franco,franco-v2,4,21.750,17.850,39.600,1,true
training-v2-8912,training,8912,lando,lando-v2,5,21.075,18.800,39.875,0,true
training-v2-8912,training,8912,fernando,fernando-v2,6,22.750,17.975,40.725,1,true
training-v2-8912,training,8912,george,george-v2,7,23.400,18.325,41.725,2,true
training-v2-8912,training,8912,oscar,oscar-v2,8,24.000,18.175,42.175,2,true
training-v2-8912,training,8912,alex,alex-v2,9,24.575,18.850,43.425,2,true
training-v2-8912,training,8912,carlos,carlos-v2,10,24.300,19.300,43.600,2,true
training-v2-2046,training,2046,max,max-v2,1,18.925,16.725,35.650,0,true
training-v2-2046,training,2046,lewis,lewis-v2,2,18.525,17.450,35.975,0,true
training-v2-2046,training,2046,charles,charles-v2,3,19.900,16.450,36.350,2,true
training-v2-2046,training,2046,lando,lando-v2,4,19.325,17.425,36.750,1,true
training-v2-2046,training,2046,franco,franco-v2,5,20.250,16.750,37.000,4,true
training-v2-2046,training,2046,fernando,fernando-v2,6,20.850,17.300,38.150,0,true
training-v2-2046,training,2046,alex,alex-v2,7,21.275,17.325,38.600,3,true
training-v2-2046,training,2046,george,george-v2,8,22.000,17.150,39.150,4,true
training-v2-2046,training,2046,oscar,oscar-v2,9,22.425,17.400,39.825,4,true
training-v2-2046,training,2046,carlos,carlos-v2,10,22.875,17.200,40.075,0,true
validation-baseline-73091,validation,73091,max,max-v0,1,20.125,18.625,38.750,0,true
validation-baseline-73091,validation,73091,lando,lando-v0,2,21.175,18.375,39.550,3,true
validation-baseline-73091,validation,73091,fernando,fernando-v0,3,22.200,18.325,40.525,1,true
validation-baseline-73091,validation,73091,charles,charles-v0,4,21.300,19.400,40.700,1,true
validation-baseline-73091,validation,73091,franco,franco-v0,5,23.675,18.425,42.100,4,true
validation-baseline-73091,validation,73091,oscar,oscar-v0,6,23.700,18.600,42.300,4,true
validation-baseline-73091,validation,73091,lewis,lewis-v0,7,23.200,19.500,42.700,6,true
validation-baseline-73091,validation,73091,george,george-v0,8,24.175,19.200,43.375,3,true
validation-baseline-73091,validation,73091,carlos,carlos-v0,9,25.150,19.900,45.050,3,true
validation-baseline-73091,validation,73091,alex,alex-v0,10,25.225,20.550,45.775,3,true
validation-selected-73091,validation,73091,max,max-v1,1,18.425,17.300,35.725,0,true
validation-selected-73091,validation,73091,lewis,lewis-v2,2,19.175,17.450,36.625,0,true
validation-selected-73091,validation,73091,lando,lando-v2,3,20.300,16.950,37.250,2,true
validation-selected-73091,validation,73091,charles,charles-v2,4,21.450,16.800,38.250,2,true
validation-selected-73091,validation,73091,franco,franco-v2,5,22.350,16.750,39.100,4,true
validation-selected-73091,validation,73091,fernando,fernando-v2,6,23.075,17.675,40.750,10,true
validation-selected-73091,validation,73091,george,george-v2,7,23.825,17.925,41.750,3,true
validation-selected-73091,validation,73091,alex,alex-v2,8,24.750,17.525,42.275,4,true
validation-selected-73091,validation,73091,oscar,oscar-v0,9,24.075,18.350,42.425,11,true
validation-selected-73091,validation,73091,carlos,carlos-v2,10,24.575,18.975,43.550,2,true
round-1-66103,championship,66103,max,max-v1,1,17.575,16.225,33.800,0,true
round-1-66103,championship,66103,lewis,lewis-v2,2,18.775,16.900,35.675,0,true
round-1-66103,championship,66103,lando,lando-v2,3,20.075,16.700,36.775,1,true
round-1-66103,championship,66103,charles,charles-v2,4,20.675,17.250,37.925,1,true
round-1-66103,championship,66103,fernando,fernando-v2,5,21.800,16.850,38.650,1,true
round-1-66103,championship,66103,oscar,oscar-v0,6,22.550,16.725,39.275,2,true
round-1-66103,championship,66103,franco,franco-v2,7,23.000,17.400,40.400,3,true
round-1-66103,championship,66103,alex,alex-v2,8,24.100,17.375,41.475,4,true
round-1-66103,championship,66103,george,george-v2,9,23.475,18.025,41.500,4,true
round-1-66103,championship,66103,carlos,carlos-v2,10,24.550,18.250,42.800,2,true
round-2-91827,championship,91827,max,max-v1,1,18.550,16.875,35.425,0,true
round-2-91827,championship,91827,lewis,lewis-v2,2,19.250,18.050,37.300,0,true
round-2-91827,championship,91827,lando,lando-v2,3,20.175,18.650,38.825,0,true
round-2-91827,championship,91827,charles,charles-v2,4,20.850,18.575,39.425,0,true
round-2-91827,championship,91827,franco,franco-v2,5,21.875,17.800,39.675,4,true
